region,club,type,distance,date,route,rt_url,rtid,event_url,eid
TN: Nashville,Harpeth Bicycle Club / 942046,ACPB,1000.0,2018/09/13,Natches Trace 1000K,/cgi-bin/routesearch_PF.pl?rtid=902,902,/cgi-bin/resultsearch_PF.pl?eid=9211&esortby=cert,9211
TX: West Texas,West Texas Randonneurs / 943003,ACPB,200.0,2018/09/14,Ft. Davis / Marathon,/cgi-bin/routesearch_PF.pl?rtid=966,966,/cgi-bin/resultsearch_PF.pl?eid=8892&esortby=cert,8892
WA: Seattle,Seattle International Randonneurs / 947018,ACPB,1000.0,2018/09/14,Seattle-Oregon Coast-Crater Lake-Klamath Falls,/cgi-bin/routesearch_PF.pl?rtid=858,858,/cgi-bin/resultsearch_PF.pl?eid=9501&esortby=cert,9501
TX: West Texas,West Texas Randonneurs / 943003,RUSAP,100.0,2018/09/14,Fort Davis - Balmorhea 117K,/cgi-bin/routesearch_PF.pl?rtid=1615,1615,/cgi-bin/resultsearch_PF.pl?eid=8893&esortby=cert,8893
CO: Boulder,Rocky Mountain Cycling Club / 906002,ACPB,400.0,2018/09/15,Poudre Canyon 400K,/cgi-bin/routesearch_PF.pl?rtid=1582,1582,/cgi-bin/resultsearch_PF.pl?eid=9366&esortby=cert,9366
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,RUSAP,102.0,2018/09/15,Dakota County Frolic,/cgi-bin/routesearch_PF.pl?rtid=1760,1760,/cgi-bin/resultsearch_PF.pl?eid=9261&esortby=cert,9261
TX: Houston,Houston Randonneurs / 943030,ACPB,300.0,2018/09/15,Brookshire-Burton-Carlos,/cgi-bin/routesearch_PF.pl?rtid=791,791,/cgi-bin/resultsearch_PF.pl?eid=9119&esortby=cert,9119
AK: Anchorage,Denali Randonneurs / 902007,RUSAP,100.0,2018/09/15,Bread & Water 100,/cgi-bin/routesearch_PF.pl?rtid=762,762,/cgi-bin/resultsearch_PF.pl?eid=8861&esortby=cert,8861
AL: Birmingham,Montgomery Bicycle Club / 901005,ACPB,300.0,2018/09/15,Prattville 300K,/cgi-bin/routesearch_PF.pl?rtid=1157,1157,/cgi-bin/resultsearch_PF.pl?eid=8910&esortby=cert,8910
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,ACPB,200.0,2018/09/15,William Dodd Road Ramble,/cgi-bin/routesearch_PF.pl?rtid=1631,1631,/cgi-bin/resultsearch_PF.pl?eid=9262&esortby=cert,9262
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,400.0,2018/09/15,Panama Road Willow Park 400K,/cgi-bin/routesearch_PF.pl?rtid=2157,2157,/cgi-bin/resultsearch_PF.pl?eid=8948&esortby=cert,8948
TX: Houston,Houston Randonneurs / 943030,RUSAP,100.0,2018/09/15,Sunnyside Loop,/cgi-bin/routesearch_PF.pl?rtid=1183,1183,/cgi-bin/resultsearch_PF.pl?eid=9117&esortby=cert,9117
MI: Detroit,Detroit Randonneurs / 922015,ACPB,200.0,2018/09/15,Trail Mix,/cgi-bin/routesearch_PF.pl?rtid=1998,1998,/cgi-bin/resultsearch_PF.pl?eid=9607&esortby=cert,9607
MD: Capital Region,DC Randonneurs / 946012,ACPB,300.0,2018/09/15,Ye Olde Frederick 300,/cgi-bin/routesearch_PF.pl?rtid=630,630,/cgi-bin/resultsearch_PF.pl?eid=9330&esortby=cert,9330
CA: San Francisco,San Francisco Randonneurs / 905030,ACPB,200.0,2018/09/15,Davis 200,/cgi-bin/routesearch_PF.pl?rtid=753,753,/cgi-bin/resultsearch_PF.pl?eid=9050&esortby=cert,9050
TX: Houston,Houston Randonneurs / 943030,ACPB,200.0,2018/09/15,Brookshire-Burton,/cgi-bin/routesearch_PF.pl?rtid=924,924,/cgi-bin/resultsearch_PF.pl?eid=9118&esortby=cert,9118
